4 -1 0 0.9 0.9 8 8.52046 6.28318 0.783255 1 0.796601 -1.23203e-06 1.93485e-06 0.796601 2.32092e-06 0.783255 2.22949 6.28318 -0.788518 1 -0.775002 -3.38114e-06 -2.66518e-06 -0.775002 -1.49589e-06 -0.788518 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 -1 0 0.907089 0.907089 7.90841 8.52157 6.28319 0.780279 1 0.793427 7.60235e-12 5.48216e-12 0.793427 5.77336e-12 0.780279 2.23839 6.28319 -0.785309 1 -0.77198 6.99593e-12 -5.86986e-12 -0.77198 -5.6442e-12 -0.785309 1.00002 0 0.598226 0.79509 0.598226 -0.79509 0.00126027 0.000672237 0.00126027 -0.000672237 -0.00195398 0.0191448 -0.00195398 -0.0191448 0.000367633 0 0.000367642 0 0.000367642 0 
3 -1 0 0.90951 0.90951 7.88119 8.52328 6.28319 0.779276 1 0.792364 -4.91794e-13 3.96002e-13 0.792364 3.8511e-13 0.779276 2.24009 6.28319 -0.784222 1 -0.770956 -5.18205e-13 -3.93669e-13 -0.770956 -4.04818e-13 -0.784222 1.00001 0 0.603861 0.797064 0.603861 -0.797064 0.00129789 0.000685055 0.00129789 -0.000685055 -0.00211368 0.0193926 -0.00211368 -0.0193926 0.000377786 0 0.000377791 0 0.000377791 0 
4 -1 0 0.916859 0.916859 7.80024 8.5284 6.28319 0.776279 1 0.789159 -1.10707e-12 8.6791e-13 0.789159 8.61847e-13 0.776279 2.24521 6.28319 -0.780939 1 -0.76786 -1.1443e-12 -8.83567e-13 -0.76786 -8.90816e-13 -0.780939 1 0 0.621228 0.803082 0.621228 -0.803082 0.00141605 0.000724096 0.00141605 -0.000724096 -0.00260679 0.0201433 -0.00260679 -0.0201433 0.000409635 0 0.000409635 0 0.000409635 0 
4 -1 0 0.924263 0.924263 7.72118 8.53347 6.28319 0.773268 1 0.785969 -1.17108e-12 9.12308e-13 0.785969 9.10304e-13 0.773268 2.25029 6.28319 -0.777687 1 -0.764796 -1.1972e-12 -9.21593e-13 -0.764796 -9.25777e-13 -0.777687 1 0 0.639097 0.809054 0.639097 -0.809054 0.0015413 0.00076355 0.0015413 -0.00076355 -0.00311564 0.0208965 -0.00311564 -0.0208965 0.000443339 0 0.000443339 0 0.000443339 0 
4 -1 0 0.93172 0.93172 7.64393 8.5385 6.28319 0.77027 1 0.782793 -9.68797e-13 7.49264e-13 0.782793 7.48358e-13 0.77027 2.25532 6.28319 -0.774452 1 -0.761748 -9.96044e-13 -7.63605e-13 -0.761748 -7.69818e-13 -0.774452 1 0 0.657463 0.814982 0.657463 -0.814982 0.00167374 0.000803302 0.00167374 -0.000803302 -0.00364187 0.0216525 -0.00364187 -0.0216525 0.000478942 0 0.000478942 0 0.000478942 0 
4 -1 0 0.939229 0.939229 7.56845 8.54349 6.28319 0.767317 1 0.779632 -1.08744e-12 8.5561e-13 0.779632 8.38193e-13 0.767317 2.2603 6.28319 -0.771216 1 -0.758738 -1.13724e-12 -8.52974e-13 -0.758738 -8.74288e-13 -0.771216 1 0 0.676351 0.820836 0.676351 -0.820836 0.00181349 0.000843241 0.00181349 -0.000843241 -0.00418499 0.022411 -0.00418499 -0.022411 0.000516493 0 0.000516493 0 0.000516493 0 
4 -1 0 0.946789 0.946789 7.49467 8.54843 6.28319 0.764348 1 0.776486 -9.45423e-13 7.39538e-13 0.776486 7.24967e-13 0.764348 2.26524 6.28319 -0.768013 1 -0.755724 -9.86236e-13 -7.39139e-13 -0.755724 -7.55188e-13 -0.768013 1 0 0.695781 0.826586 0.695781 -0.826586 0.00196067 0.000883255 0.00196067 -0.000883255 -0.00474455 0.0231716 -0.00474455 -0.0231716 0.000556038 0 0.000556038 0 0.000556038 0 
4 -1 0 0.954398 0.954398 7.42255 8.55332 6.28319 0.761393 1 0.773357 -9.94712e-13 7.77272e-13 0.773357 7.60563e-13 0.761393 2.27014 6.28319 -0.76483 1 -0.752726 -1.03801e-12 -7.73686e-13 -0.752726 -7.90446e-13 -0.76483 1 0 0.715777 0.832198 0.715777 -0.832198 0.00211539 0.000923233 0.00211539 -0.000923233 -0.00532011 0.0239339 -0.00532011 -0.0239339 0.000597621 0 0.000597621 0 0.000597621 0 
4 -1 0 0.962058 0.962058 7.35203 8.55817 6.28319 0.758463 1 0.770244 -7.62996e-13 5.81812e-13 0.770244 5.80777e-13 0.758463 2.27499 6.28319 -0.76169 1 -0.749751 -7.76883e-13 -5.89838e-13 -0.749751 -5.88403e-13 -0.76169 1 0 0.736362 0.837636 0.736362 -0.837636 0.00227772 0.000963064 0.00227772 -0.000963064 -0.00591122 0.0246978 -0.00591122 -0.0246978 0.000641286 0 0.000641286 0 0.000641286 0 
